date,Ta_Avg（℃）,RH-Avg（%）,TC_10cm（℃）,TC_20cm（℃）,TC_30cm（℃）,OT,OT3,EC_10cm（us/cm）,EC_20cm（us/cm）,EC_30cm（us/cm）
2025-03-27 11:10:00,33.05,26.50,33.30,33.60,29.40,16.60,29.50,32.00,26.75,29.00
2025-03-27 11:15:00,33.50,24.40,33.30,32.60,24.60,19.50,32.50,26.00,27.00,46.00
2025-03-27 11:20:00,33.69,24.49,32.63,31.93,24.30,19.70,32.39,26.42,26.92,44.08
2025-03-27 11:25:00,33.88,24.58,31.97,31.27,24.00,19.90,32.28,26.83,26.83,42.17
2025-03-27 11:30:00,34.08,24.68,31.30,30.60,23.70,20.10,32.17,27.25,26.75,40.25
2025-03-27 11:35:00,34.27,24.77,30.63,29.93,23.40,20.30,32.07,27.67,26.67,38.33
2025-03-27 11:40:00,34.46,24.86,29.97,29.27,23.10,20.50,31.96,28.08,26.58,36.42
2025-03-27 11:45:00,34.65,24.95,29.30,28.60,22.80,20.70,31.85,28.50,26.50,34.50
2025-03-27 11:50:00,34.84,25.04,28.63,27.93,22.50,20.90,31.74,28.92,26.42,32.58
2025-03-27 11:55:00,35.03,25.13,27.97,27.27,22.20,21.10,31.63,29.33,26.33,30.67
2025-03-27 12:00:00,35.23,25.23,27.30,26.60,21.90,21.30,31.52,29.75,26.25,28.75
2025-03-27 12:05:00,35.42,25.32,26.63,25.93,21.60,21.50,31.42,30.17,26.17,26.83
2025-03-27 12:10:00,35.61,25.41,25.97,25.27,21.30,21.70,31.31,30.58,26.08,24.92
2025-03-27 12:15:00,35.80,25.50,25.30,24.60,21.00,21.90,31.20,31.00,26.00,23.00
2025-03-27 12:20:00,35.98,25.07,25.30,24.52,20.97,21.85,31.14,30.67,26.50,23.83
2025-03-27 12:25:00,36.17,24.63,25.30,24.43,20.93,21.80,31.08,30.33,27.00,24.67
2025-03-27 12:30:00,36.35,24.20,25.30,24.35,20.90,21.75,31.02,30.00,27.50,25.50
2025-03-27 12:35:00,36.53,23.77,25.30,24.27,20.87,21.70,30.97,29.67,28.00,26.33
2025-03-27 12:40:00,36.72,23.33,25.30,24.18,20.83,21.65,30.91,29.33,28.50,27.17
2025-03-27 12:45:00,36.90,22.90,25.30,24.10,20.80,21.60,30.85,29.00,29.00,28.00
2025-03-27 12:50:00,37.08,22.47,25.30,24.02,20.77,21.55,30.79,28.67,29.50,28.83
2025-03-27 12:55:00,37.27,22.03,25.30,23.93,20.73,21.50,30.73,28.33,30.00,29.67
2025-03-27 13:00:00,37.45,21.60,25.30,23.85,20.70,21.45,30.68,28.00,30.50,30.50
2025-03-27 13:05:00,37.63,21.17,25.30,23.77,20.67,21.40,30.62,27.67,31.00,31.33
2025-03-27 13:10:00,37.82,20.73,25.30,23.68,20.63,21.35,30.56,27.33,31.50,32.17
2025-03-27 13:15:00,38.00,20.30,25.30,23.60,20.60,21.30,30.50,27.00,32.00,33.00
2025-03-27 13:20:00,37.98,20.25,25.38,23.60,20.60,21.25,30.48,26.33,31.67,33.00
2025-03-27 13:25:00,37.95,20.20,25.47,23.60,20.60,21.20,30.45,25.67,31.33,33.00
2025-03-27 13:30:00,37.92,20.15,25.55,23.60,20.60,21.15,30.43,25.00,31.00,33.00
2025-03-27 13:35:00,37.90,20.10,25.63,23.60,20.60,21.10,30.40,24.33,30.67,33.00
2025-03-27 13:40:00,37.88,20.05,25.72,23.60,20.60,21.05,30.38,23.67,30.33,33.00
2025-03-27 13:45:00,37.85,20.00,25.80,23.60,20.60,21.00,30.35,23.00,30.00,33.00
2025-03-27 13:50:00,37.83,19.95,25.88,23.60,20.60,20.95,30.32,22.33,29.67,33.00
2025-03-27 13:55:00,37.80,19.90,25.97,23.60,20.60,20.90,30.30,21.67,29.33,33.00
2025-03-27 14:00:00,37.77,19.85,26.05,23.60,20.60,20.85,30.27,21.00,29.00,33.00
2025-03-27 14:05:00,37.75,19.80,26.13,23.60,20.60,20.80,30.25,20.33,28.67,33.00
2025-03-27 14:10:00,37.73,19.75,26.22,23.60,20.60,20.75,30.23,19.67,28.33,33.00
2025-03-27 14:15:00,37.70,19.70,26.30,23.60,20.60,20.70,30.20,19.00,28.00,33.00
2025-03-27 14:20:00,37.66,19.86,26.30,23.60,20.60,20.69,30.16,20.36,27.77,33.27
2025-03-27 14:25:00,37.63,20.03,26.30,23.60,20.60,20.67,30.13,21.73,27.55,33.55
2025-03-27 14:30:00,37.59,20.19,26.30,23.60,20.60,20.66,30.09,23.09,27.32,33.82
2025-03-27 14:35:00,37.55,20.35,26.30,23.60,20.60,20.65,30.05,24.45,27.09,34.09
2025-03-27 14:40:00,37.52,20.52,26.30,23.60,20.60,20.63,30.02,25.82,26.86,34.36
2025-03-27 14:45:00,37.48,20.68,26.30,23.60,20.60,20.62,29.98,27.18,26.64,34.64
2025-03-27 14:50:00,37.45,20.85,26.30,23.60,20.60,20.60,29.95,28.55,26.41,34.91
2025-03-27 14:55:00,37.41,21.01,26.30,23.60,20.60,20.59,29.91,29.91,26.18,35.18
2025-03-27 15:00:00,37.37,21.17,26.30,23.60,20.60,20.58,29.87,31.27,25.95,35.45
2025-03-27 15:05:00,37.34,21.34,26.30,23.60,20.60,20.56,29.84,32.64,25.73,35.73
2025-03-27 15:10:00,37.30,21.50,26.30,23.60,20.60,20.55,29.80,34.00,25.50,36.00
2025-03-27 15:15:00,36.90,20.87,26.30,23.60,20.60,20.53,30.03,31.67,23.33,33.33
2025-03-27 15:20:00,37.00,21.17,26.30,23.60,20.60,20.50,29.98,26.33,21.50,36.00
2025-03-27 15:25:00,37.40,22.57,26.33,23.60,20.60,20.60,29.97,26.00,29.50,32.00
2025-03-27 15:30:00,37.45,22.35,26.37,23.60,20.60,20.48,29.87,30.00,26.00,36.00
2025-03-27 15:35:00,37.37,22.07,26.57,23.60,20.60,20.43,29.83,28.00,26.00,31.67
2025-03-27 15:40:00,37.27,22.20,26.77,23.60,20.60,20.48,29.90,27.33,24.00,33.00
2025-03-27 15:45:00,37.00,23.13,27.05,23.60,20.60,20.40,29.77,32.25,24.00,39.33
2025-03-27 15:50:00,37.00,22.43,27.17,23.60,20.60,20.43,29.77,26.33,26.00,30.67
