date,Ta_Avg（℃）,RH-Avg（%）,TC_10cm℃,TC_20cm℃,TC_30cm℃,OT1,OT,OT3,EC_10cmds/m,EC_20cmds/m,EC_30cmds/m
2021-05-12 16:30:00,27.98,45.67,28.86,22.11,19.39,13.04,22.36,33.84,0.061,0.236,0.57
2021-05-12 17:00:00,27.69,48.72,28.82,22.46,19.53,13.18,22.46,33.75,0.06,0.234,0.569
2021-05-12 17:30:00,27.1,50.5,28.58,22.73,19.69,13.1,22.2,33.53,0.06,0.233,0.57
2021-05-12 18:00:00,26.07,53.18,28.29,22.94,19.85,13.06,22.39,33.95,0.059,0.233,0.567
2021-05-12 18:30:00,25.04,54.99,27.84,23.09,19.99,12.97,22.28,33.7,0.06,0.231,0.569
2021-05-12 19:00:00,23.99,56.22,27.29,23.18,20.13,12.96,22.37,33.92,0.058,0.232,0.57
2021-05-12 19:30:00,23.03,57.44,26.69,23.21,20.27,13.07,22.15,33.71,0.058,0.232,0.569
2021-05-12 20:00:00,22.29,60.78,26.09,23.21,20.38,13.18,22.25,33.99,0.057,0.229,0.57
2021-05-12 20:30:00,21.63,63.94,25.48,23.15,20.46,13.34,22.05,33.69,0.056,0.229,0.571
2021-05-12 21:00:00,20.57,67.74,24.87,23.06,20.54,13.5,22.26,33.78,0.056,0.232,0.57
2021-05-12 21:30:00,19.92,70.49,24.31,22.91,20.63,13.54,22.48,33.57,0.055,0.231,0.571
2021-05-12 22:00:00,19.82,71.23,23.78,22.76,20.66,13.69,22.1,33.77,0.055,0.23,0.571
2021-05-12 22:30:00,19.3,72.89,23.3,22.61,20.68,13.55,22.17,33.68,0.055,0.23,0.569
2021-05-12 23:00:00,18.58,76.27,22.88,22.46,20.71,13.58,22.24,33.61,0.054,0.229,0.571
2021-05-12 23:30:00,19.05,77.64,22.46,22.29,20.71,13.49,22.22,33.54,0.054,0.227,0.571
2021-05-13 00:00:00,18.57,76.8,22.08,22.08,20.68,13.21,22.02,33.55,0.054,0.229,0.571
2021-05-13 00:30:00,17.34,81.7,21.76,21.91,20.68,13.18,22.0,33.42,0.054,0.226,0.57
2021-05-13 01:00:00,17.45,83.0,21.48,21.74,20.63,13.34,22.03,33.37,0.054,0.226,0.572
2021-05-13 01:30:00,17.94,82.2,21.22,21.56,20.6,13.05,22.17,33.57,0.053,0.226,0.57
2021-05-13 02:00:00,17.55,82.0,20.96,21.42,20.54,12.96,22.07,33.56,0.052,0.222,0.568
2021-05-13 02:30:00,17.66,83.5,20.71,21.25,20.52,13.08,22.24,33.68,0.053,0.224,0.569
2021-05-13 03:00:00,17.84,81.0,20.49,21.11,20.46,12.69,22.11,33.54,0.054,0.224,0.569
2021-05-13 03:30:00,16.95,84.6,20.29,20.96,20.4,12.92,22.11,33.88,0.053,0.222,0.569
2021-05-13 04:00:00,16.79,86.3,20.1,20.82,20.35,12.87,22.17,33.74,0.053,0.221,0.567
2021-05-13 04:30:00,16.55,86.6,19.91,20.68,20.29,12.94,21.85,33.7,0.053,0.222,0.566
2021-05-13 05:00:00,16.57,86.9,19.74,20.57,20.24,12.8,22.08,33.59,0.052,0.219,0.567
2021-05-13 05:30:00,16.39,85.9,19.55,20.43,20.16,12.65,21.84,33.6,0.051,0.22,0.567
