date,Ta_Avg（℃）,RH-Avg（%）,TC_10cm℃,TC_20cm℃,TC_30cm℃,OT1,OT,OT3,EC_10cmds/m,EC_20cmds/m,EC_30cmds/m
2021-05-12 16:30:00,27.13,48.92,23.33,19.39,17.67,24.06,34.9,20.82,0.324,0.76,0.169
2021-05-12 17:00:00,27.01,49.92,23.09,19.47,17.75,24.1,35.15,20.69,0.322,0.763,0.168
2021-05-12 17:30:00,26.6,49.86,22.79,19.55,17.83,24.02,35.11,20.4,0.325,0.763,0.167
2021-05-12 18:00:00,25.78,55.07,22.52,19.58,17.9,23.74,34.95,20.14,0.324,0.764,0.168
2021-05-12 18:30:00,25.05,60.03,22.26,19.61,17.96,23.82,34.94,20.49,0.325,0.764,0.167
2021-05-12 19:00:00,24.14,62.41,22.0,19.61,18.01,24.04,35.06,20.59,0.325,0.766,0.168
2021-05-12 19:30:00,22.25,66.06,21.74,19.61,18.06,23.74,35.14,20.48,0.326,0.768,0.169
2021-05-12 20:00:00,21.68,66.58,21.48,19.58,18.11,23.73,35.06,20.69,0.323,0.769,0.167
2021-05-12 20:30:00,20.8,71.05,21.19,19.55,18.17,23.77,35.09,20.5,0.325,0.772,0.167
2021-05-12 21:00:00,20.28,73.41,20.88,19.53,18.19,24.12,35.29,20.7,0.326,0.772,0.165
2021-05-12 21:30:00,19.23,77.49,20.6,19.47,18.22,23.48,35.07,20.56,0.324,0.773,0.167
2021-05-12 22:00:00,18.46,80.4,20.35,19.42,18.22,23.92,35.34,20.66,0.324,0.771,0.167
2021-05-12 22:30:00,18.0,82.5,20.1,19.36,18.24,23.85,35.37,20.72,0.324,0.775,0.168
2021-05-12 23:00:00,18.08,83.7,19.85,19.28,18.24,23.71,35.54,20.74,0.322,0.774,0.166
2021-05-12 23:30:00,17.92,84.5,19.63,19.23,18.24,23.88,35.23,20.53,0.324,0.775,0.168
2021-05-13 00:00:00,17.34,85.0,19.44,19.15,18.24,23.89,35.45,20.63,0.322,0.774,0.163
